record_id,Latitude,Longitude,main_damag,grouped_da,confidence,geo_result,occupancy,address,parsed_add,address_di,country,parish,town,suburb,street,place,wind_speed
BLDG20469,15.36828288,-61.40376249,Highly Damaged,Damaged Buildings,nan,"15.3783761,-61.4072474,primary",primary,"Edward Olivier Leblanc Highway, Canefield, Jimmit, Saint Paul Parish, Dominica","Edward Olivier Leblanc Highway,Canefield,Jimmit,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Jimmit,None,Canefield,Edward Olivier Leblanc Highway,170
BLDG20470,15.36845182,-61.40317476,Completely Destroyed,Damaged Buildings,nan,"15.3783761,-61.4072474,primary",primary,"Edward Olivier Leblanc Highway, Canefield, Jimmit, Saint Paul Parish, Dominica","Edward Olivier Leblanc Highway,Canefield,Jimmit,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Jimmit,None,Canefield,Edward Olivier Leblanc Highway,170
BLDG20471,15.36854224,-61.4034841,Highly Damaged,Damaged Buildings,nan,"15.3783761,-61.4072474,primary",primary,"Edward Olivier Leblanc Highway, Canefield, Jimmit, Saint Paul Parish, Dominica","Edward Olivier Leblanc Highway,Canefield,Jimmit,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Jimmit,None,Canefield,Edward Olivier Leblanc Highway,170
BLDG20472,15.36824005,-61.40391716,Completely Destroyed,Damaged Buildings,nan,"15.3783761,-61.4072474,primary",primary,"Edward Olivier Leblanc Highway, Canefield, Jimmit, Saint Paul Parish, Dominica","Edward Olivier Leblanc Highway,Canefield,Jimmit,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Jimmit,None,Canefield,Edward Olivier Leblanc Highway,170
BLDG20473,15.36830906,-61.40210163,Moderately Damaged,Damaged Buildings,nan,"15.3783761,-61.4072474,primary",primary,"Edward Olivier Leblanc Highway, Canefield, Jimmit, Saint Paul Parish, Dominica","Edward Olivier Leblanc Highway,Canefield,Jimmit,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Jimmit,None,Canefield,Edward Olivier Leblanc Highway,170
BLDG20474,15.36848276,-61.40262273,Highly Damaged,Damaged Buildings,nan,"15.3783761,-61.4072474,primary",primary,"Edward Olivier Leblanc Highway, Canefield, Jimmit, Saint Paul Parish, Dominica","Edward Olivier Leblanc Highway,Canefield,Jimmit,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Jimmit,None,Canefield,Edward Olivier Leblanc Highway,170
BLDG20475,15.36911094,-61.40367207,Highly Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Jimmit, Saint Paul Parish, Dominica","Canefield,Jimmit,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Jimmit,None,Canefield,None,170
BLDG20476,15.36899672,-61.40360069,Moderately Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Jimmit, Saint Paul Parish, Dominica","Canefield,Jimmit,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Jimmit,None,Canefield,None,170
BLDG20477,15.36915852,-61.40350551,Moderately Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Jimmit, Saint Paul Parish, Dominica","Canefield,Jimmit,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Jimmit,None,Canefield,None,170
BLDG20478,15.36883492,-61.40346506,Highly Damaged,Damaged Buildings,nan,"15.3783761,-61.4072474,primary",primary,"Edward Olivier Leblanc Highway, Canefield, Jimmit, Saint Paul Parish, Dominica","Edward Olivier Leblanc Highway,Canefield,Jimmit,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Jimmit,None,Canefield,Edward Olivier Leblanc Highway,170
BLDG20479,15.36882778,-61.40358165,Highly Damaged,Damaged Buildings,nan,"15.3783761,-61.4072474,primary",primary,"Edward Olivier Leblanc Highway, Canefield, Jimmit, Saint Paul Parish, Dominica","Edward Olivier Leblanc Highway,Canefield,Jimmit,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Jimmit,None,Canefield,Edward Olivier Leblanc Highway,170
BLDG20480,15.36871119,-61.40379104,Completely Destroyed,Damaged Buildings,nan,"15.3783761,-61.4072474,primary",primary,"Edward Olivier Leblanc Highway, Canefield, Jimmit, Saint Paul Parish, Dominica","Edward Olivier Leblanc Highway,Canefield,Jimmit,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Jimmit,None,Canefield,Edward Olivier Leblanc Highway,170
