lid,latitude,longitude,population_2015,population_2020,abs_increase,perc_increase
LOC00001,15.21041667,-61.36402778,7.53397121,7.568222297,0.034251087,1.00
LOC00002,15.21069444,-61.36430556,7.53397121,7.568222297,0.034251087,1.00
LOC00003,15.21097222,-61.36541667,7.53397121,7.568222297,0.034251087,1.00
LOC00004,15.21097222,-61.36513889,7.53397121,7.568222297,0.034251087,1.00
LOC00005,15.21097222,-61.36458333,7.53397121,7.568222297,0.034251087,1.00
LOC00006,15.21097222,-61.36430556,7.53397121,7.568222297,0.034251087,1.00
LOC00007,15.21125,-61.36708333,7.53397121,7.568222297,0.034251087,1.00
LOC00008,15.21125,-61.36625,7.53397121,7.568222297,0.034251087,1.00
LOC00009,15.21125,-61.36597222,7.53397121,7.568222297,0.034251087,1.00
LOC00010,15.21152778,-61.36680556,7.53397121,7.568222297,0.034251087,1.00
LOC00011,15.21152778,-61.36652778,7.53397121,7.568222297,0.034251087,1.00
LOC00012,15.21152778,-61.36597222,7.53397121,7.568222297,0.034251087,1.00
LOC00013,15.21152778,-61.36569444,7.53397121,7.568222297,0.034251087,1.00
LOC00014,15.21152778,-61.36541667,7.53397121,7.568222297,0.034251087,1.00
LOC00015,15.21152778,-61.36513889,7.53397121,7.568222297,0.034251087,1.00
LOC00016,15.21152778,-61.36486111,7.53397121,7.568222297,0.034251087,1.00
LOC00017,15.21152778,-61.36458333,7.53397121,7.568222297,0.034251087,1.00
LOC00018,15.21152778,-61.36430556,7.53397121,7.568222297,0.034251087,1.00
LOC00019,15.21152778,-61.34930556,7.53397121,7.568222297,0.034251087,1.00
LOC00020,15.21180556,-61.36680556,7.53397121,7.568222297,0.034251087,1.00
LOC00021,15.21180556,-61.36625,7.53397121,7.568222297,0.034251087,1.00
LOC00022,15.21180556,-61.36569444,7.53397121,7.568222297,0.034251087,1.00
LOC00023,15.21180556,-61.36541667,7.53397121,7.568222297,0.034251087,1.00
LOC00024,15.21180556,-61.36486111,7.53397121,7.568222297,0.034251087,1.00
LOC00025,15.21180556,-61.36430556,7.53397121,7.568222297,0.034251087,1.00
LOC00026,15.21180556,-61.36347222,7.53397121,7.568222297,0.034251087,1.00
LOC00027,15.21180556,-61.34930556,7.53397121,7.568222297,0.034251087,1.00
LOC00028,15.21180556,-61.34902778,7.53397121,7.568222297,0.034251087,1.00
LOC00029,15.21208333,-61.36736111,7.53397121,7.568222297,0.034251087,1.00
LOC00030,15.21208333,-61.36708333,7.53397121,7.568222297,0.034251087,1.00
LOC00031,15.21208333,-61.36680556,7.53397121,7.568222297,0.034251087,1.00
LOC00032,15.21208333,-61.36569444,7.53397121,7.568222297,0.034251087,1.00
LOC00033,15.21208333,-61.36486111,7.53397121,7.568222297,0.034251087,1.00
LOC00034,15.21208333,-61.36430556,7.53397121,7.568222297,0.034251087,1.00
LOC00035,15.21208333,-61.36347222,7.53397121,7.568222297,0.034251087,1.00
