bldg_id,lat,lng,bldg_address,bldg_name,submarket,zip_code,floor_area,bldg_class,nstory,constr_year
B0001,47.6388254,-122.1923881,3101 Northup Way,Northup Office Center,520 Corridor,98004,42086,A,3,1979
B0002,47.67132072,-122.1377076,152nd Ave NE,Esterra Park - Two,520 Corridor,98052,180000,B,6,2015
B0003,47.67132072,-122.1377076,152nd Ave NE,Esterra Park - Three,520 Corridor,98052,223000,B,6,2015
B0004,47.67132072,-122.1377076,152nd Ave NE,Esterra Park - Five,520 Corridor,98052,225000,B,6,
B0005,47.67132072,-122.1377076,152nd Ave NE,Esterra Park - Four,520 Corridor,98052,230000,B,6,
B0006,47.630487,-122.147336,14335 NE 24th St,Oakhurst Center B,520 Corridor,98007,"70,794",A,2,1985
B0007,47.630524,-122.146143,14475 NE 24th St,Oakhurst Center A,520 Corridor,98007,"72,397",A,2,1985
B0008,47.639232,-122.142316,14860 NE 31st Way,Microsoft - Bldg 114,520 Corridor,98052,"85,226",A,3,1999
B0009,47.645329,-122.136351,15291 NE 40th St,Microsoft Studio A,520 Corridor,98052,"96,912",A,3,1990
B0010,47.640434,-122.138367,15011 NE 36th St,Laguna North,520 Corridor,98052,"104,353",A,3,1998
B0011,47.638752,-122.1409,14980 NE 31st Way,Laguna South,520 Corridor,98052,"104,443",A,3,1999
B0012,47.64026,-122.142249,14855 NE 31st Way,Microsoft - Bldg 115,520 Corridor,98052,"114,391",A,4,1999
B0013,47.639484,-122.141542,14870 NE 31st Way,Microsoft - Bldg113,520 Corridor,98052,"114,391",A,4,1999
B0014,47.640565,-122.141097,14999 NE 31st Way,Microsoft - Bldg 112,520 Corridor,98052,"114,392",A,4,1999
B0015,47.646832,-122.133029,4001 156th Ave NE,Microsoft - Bldg 50,520 Corridor,98052,"118,050",A,4,2001
B0016,47.641114,-122.136296,15050 NE 36th St,Microsoft Studio X,520 Corridor,98052,"122,103",A,3,1998
B0017,47.651848,-122.133705,4514 154th Pl NE,Microsoft - Bldg 84,520 Corridor,98052,"148,792",A,3,2000
B0018,47.643562,-122.141541,3800 148th Ave NE,Microsoft Studio G,520 Corridor,98052,"152,478",A,3,2000
B0019,47.643562,-122.14076,3850 148th Ave NE,Microsoft Studio H,520 Corridor,98052,"152,478",A,3,2000
B0020,47.644517,-122.142812,3900 148th Ave NE,Microsoft Studio F,520 Corridor,98052,"152,478",A,3,2000
B0021,47.645173,-122.142808,3950 148th Ave NE,Microsoft Studio E,520 Corridor,98052,"152,478",A,3,2001
B0022,47.638105,-122.132994,15563 NE 31st St,Microsoft - Bldg 40,520 Corridor,98052,"152,821",A,6,1998
B0023,47.639283,-122.134312,15580 NE 31st St,Microsoft- Bldg 43,520 Corridor,98052,"154,739",A,4,1997
B0024,47.636986,-122.133568,15571 NE 31st St,Microsoft - Bldg 41,520 Corridor,98052,"196,999",A,6,1998
B0025,47.63925,-122.133052,15590 NE 31st St,Microsoft - Bldg 42,520 Corridor,98052,"207,082",A,4,1997
B0026,47.640565,-122.141097,14999 NE 31st Way,Microsoft Campus 109,520 Corridor,98052,"211,731",A,4,2002
B0027,47.642095,-122.142068,14820 NE 36th St,Bldg99,520 Corridor,98052,"217,112",A,4,2007
B0028,47.650955,-122.14038,4600 150th Ave NE,Nintendo HQ,520 Corridor,98052,"284,985",A,3,2010
B0029,47.630676,-122.16935,2353 130th Ave NE,520 Corporate Center B,520 Corridor,98005,"30,000",B,2,1990
B0030,47.637841,-122.194704,3001 112th Ave NE,Corporate Campus East III H,520 Corridor,98004,"30,190",B,2,1986
B0031,47.631187,-122.168785,2375 130th Ave NE,520 Corporate Center A,520 Corridor,98005,"30,285",B,2,1988
B0032,47.636107,-122.195443,3005 112th Ave NE,Corporate Campus East III G,520 Corridor,98004,"30,377",B,2,1986
B0033,47.647754,-122.142256,4102-4120 148th Ave NE,Overlake Business Center North G,520 Corridor,98052,"30,483",B,2,1980
B0034,47.630963,-122.168107,2331-2355 130th Ave NE,520 Corporate Center C,520 Corridor,98005,"30,504",B,2,1990
B0035,47.637802,-122.196365,3025 112th Ave NE,Corporate Campus East A,520 Corridor,98004,"30,825",B,2,1982
B0036,47.633821,-122.183909,2606 116th Ave NE,Sweeney Conrad Building,520 Corridor,98005,"33,155",B,2,2000
B0037,47.649263,-122.139392,4420 150th Ave NE,Microsoft - Bldg 126,520 Corridor,98052,"33,392",B,1,1975
B0038,47.633312,-122.180415,11980 NE 24th St,Pike's Peak Plaza,520 Corridor,98005,"34,354",B,2,1999
B0039,47.633747,-122.183174,2600 116th Ave NE,Twilight Center,520 Corridor,98005,"34,823",B,2,2001
B0040,47.648366,-122.139769,4330 150th Ave NE,Microsoft - Bldg124,520 Corridor,98052,"36,907",B,1,1975
B0041,47.648979,-122.138132,4350 150th Ave NE,Microsoft Campus - Bldg 3,520 Corridor,98052,"37,200",B,1,1975
B0042,47.648979,-122.138132,4350 150th Ave NE,Microsoft - Bldg 125,520 Corridor,98052,"37,623",B,1,1975
B0043,47.652504,-122.142082,5010 148th Ave NE,Redmond Woods B,520 Corridor,98052,"41,365",B,2,1982
B0044,47.636395,-122.194977,3055 112th Ave NE,Corporate Campus East B,520 Corridor,98004,"42,300",B,2,1982
B0045,47.634705,-122.145248,14673 NE 29th Pl,Liberty II,520 Corridor,98007,"42,993",B,2,1999
B0046,47.636528,-122.19434,3009 112th Ave NE,Corporate Campus East III F,520 Corridor,98004,"43,031",B,2,1986
B0047,47.633374,-122.181696,11820 Northup Way,Centra Office Park East,520 Corridor,98005,"45,427",B,3,1983
B0048,47.633457,-122.182254,11808 Northup Way,Centra Office Park West,520 Corridor,98005,"45,582",B,3,1983
B0049,47.633082,-122.133366,15446 Bel Red Rd,Overlake Office Center,520 Corridor,98052,"48,568",B,4,1980
B0050,47.632459,-122.154769,2445 140th Ave NE,Park 140 B,520 Corridor,98005,"48,646",B,2,1988
B0051,47.652109,-122.142152,5000 148th Ave NE,Redmond Woods A,520 Corridor,98052,"49,645",B,2,1982
B0052,47.637054,-122.195365,3015 112th Ave NE,Corporate Campus East III E,520 Corridor,98004,"50,468",B,2,1986
