_id,lat,lng,main_damage,grouped_damage,confidence_level,geo_result,occupancy,address,parsed_address,address_dict,country,parish,town,suburb,street,place
"BLDG20469","15.36828288","-61.40376249","Highly Damaged","Damaged Buildings","nan","15.3783761,-61.4072474,primary","primary","Edward Olivier Leblanc Highway, Canefield, Jimmit, Saint Paul Parish, Dominica","Edward Olivier Leblanc Highway,Canefield,Jimmit,Saint Paul Parish,Dominica","[object BSON]","Dominica","Saint Paul Parish","Jimmit","None","Canefield","Edward Olivier Leblanc Highway"
"BLDG20470","15.36845182","-61.40317476","Completely Destroyed","Damaged Buildings","nan","15.3783761,-61.4072474,primary","primary","Edward Olivier Leblanc Highway, Canefield, Jimmit, Saint Paul Parish, Dominica","Edward Olivier Leblanc Highway,Canefield,Jimmit,Saint Paul Parish,Dominica","[object BSON]","Dominica","Saint Paul Parish","Jimmit","None","Canefield","Edward Olivier Leblanc Highway"
"BLDG20471","15.36854224","-61.4034841","Highly Damaged","Damaged Buildings","nan","15.3783761,-61.4072474,primary","primary","Edward Olivier Leblanc Highway, Canefield, Jimmit, Saint Paul Parish, Dominica","Edward Olivier Leblanc Highway,Canefield,Jimmit,Saint Paul Parish,Dominica","[object BSON]","Dominica","Saint Paul Parish","Jimmit","None","Canefield","Edward Olivier Leblanc Highway"
"BLDG20472","15.36824005","-61.40391716","Completely Destroyed","Damaged Buildings","nan","15.3783761,-61.4072474,primary","primary","Edward Olivier Leblanc Highway, Canefield, Jimmit, Saint Paul Parish, Dominica","Edward Olivier Leblanc Highway,Canefield,Jimmit,Saint Paul Parish,Dominica","[object BSON]","Dominica","Saint Paul Parish","Jimmit","None","Canefield","Edward Olivier Leblanc Highway"
"BLDG20473","15.36830906","-61.40210163","Moderately Damaged","Damaged Buildings","nan","15.3783761,-61.4072474,primary","primary","Edward Olivier Leblanc Highway, Canefield, Jimmit, Saint Paul Parish, Dominica","Edward Olivier Leblanc Highway,Canefield,Jimmit,Saint Paul Parish,Dominica","[object BSON]","Dominica","Saint Paul Parish","Jimmit","None","Canefield","Edward Olivier Leblanc Highway"
"BLDG20474","15.36848276","-61.40262273","Highly Damaged","Damaged Buildings","nan","15.3783761,-61.4072474,primary","primary","Edward Olivier Leblanc Highway, Canefield, Jimmit, Saint Paul Parish, Dominica","Edward Olivier Leblanc Highway,Canefield,Jimmit,Saint Paul Parish,Dominica","[object BSON]","Dominica","Saint Paul Parish","Jimmit","None","Canefield","Edward Olivier Leblanc Highway"
"BLDG20475","15.36911094","-61.40367207","Highly Damaged","Damaged Buildings","nan","15.3380393,-61.3886297,suburb","suburb","Canefield, Jimmit, Saint Paul Parish, Dominica","Canefield,Jimmit,Saint Paul Parish,Dominica","[object BSON]","Dominica","Saint Paul Parish","Jimmit","None","Canefield","None"
"BLDG20476","15.36899672","-61.40360069","Moderately Damaged","Damaged Buildings","nan","15.3380393,-61.3886297,suburb","suburb","Canefield, Jimmit, Saint Paul Parish, Dominica","Canefield,Jimmit,Saint Paul Parish,Dominica","[object BSON]","Dominica","Saint Paul Parish","Jimmit","None","Canefield","None"
"BLDG20477","15.36915852","-61.40350551","Moderately Damaged","Damaged Buildings","nan","15.3380393,-61.3886297,suburb","suburb","Canefield, Jimmit, Saint Paul Parish, Dominica","Canefield,Jimmit,Saint Paul Parish,Dominica","[object BSON]","Dominica","Saint Paul Parish","Jimmit","None","Canefield","None"
"BLDG20478","15.36883492","-61.40346506","Highly Damaged","Damaged Buildings","nan","15.3783761,-61.4072474,primary","primary","Edward Olivier Leblanc Highway, Canefield, Jimmit, Saint Paul Parish, Dominica","Edward Olivier Leblanc Highway,Canefield,Jimmit,Saint Paul Parish,Dominica","[object BSON]","Dominica","Saint Paul Parish","Jimmit","None","Canefield","Edward Olivier Leblanc Highway"
"BLDG20479","15.36882778","-61.40358165","Highly Damaged","Damaged Buildings","nan","15.3783761,-61.4072474,primary","primary","Edward Olivier Leblanc Highway, Canefield, Jimmit, Saint Paul Parish, Dominica","Edward Olivier Leblanc Highway,Canefield,Jimmit,Saint Paul Parish,Dominica","[object BSON]","Dominica","Saint Paul Parish","Jimmit","None","Canefield","Edward Olivier Leblanc Highway"
"BLDG20480","15.36871119","-61.40379104","Completely Destroyed","Damaged Buildings","nan","15.3783761,-61.4072474,primary","primary","Edward Olivier Leblanc Highway, Canefield, Jimmit, Saint Paul Parish, Dominica","Edward Olivier Leblanc Highway,Canefield,Jimmit,Saint Paul Parish,Dominica","[object BSON]","Dominica","Saint Paul Parish","Jimmit","None","Canefield","Edward Olivier Leblanc Highway"
"BLDG20481","15.36888489","-61.40398378","Highly Damaged","Damaged Buildings","nan","15.3380393,-61.3886297,suburb","suburb","Canefield, Jimmit, Saint Paul Parish, Dominica","Canefield,Jimmit,Saint Paul Parish,Dominica","[object BSON]","Dominica","Saint Paul Parish","Jimmit","None","Canefield","None"
"BLDG20482","15.36900386","-61.40386957","Highly Damaged","Damaged Buildings","nan","15.3380393,-61.3886297,suburb","suburb","Canefield, Jimmit, Saint Paul Parish, Dominica","Canefield,Jimmit,Saint Paul Parish,Dominica","[object BSON]","Dominica","Saint Paul Parish","Jimmit","None","Canefield","None"
"BLDG20483","15.36870643","-61.40392667","Completely Destroyed","Damaged Buildings","nan","15.3783761,-61.4072474,primary","primary","Edward Olivier Leblanc Highway, Canefield, Jimmit, Saint Paul Parish, Dominica","Edward Olivier Leblanc Highway,Canefield,Jimmit,Saint Paul Parish,Dominica","[object BSON]","Dominica","Saint Paul Parish","Jimmit","None","Canefield","Edward Olivier Leblanc Highway"
"BLDG20484","15.36885157","-61.4040623","Highly Damaged","Damaged Buildings","nan","15.3380393,-61.3886297,suburb","suburb","Canefield, Jimmit, Saint Paul Parish, Dominica","Canefield,Jimmit,Saint Paul Parish,Dominica","[object BSON]","Dominica","Saint Paul Parish","Jimmit","None","Canefield","None"
"BLDG20485","15.36823291","-61.404247899999994","Completely Destroyed","Damaged Buildings","nan","15.3783761,-61.4072474,primary","primary","Edward Olivier Leblanc Highway, Canefield, Jimmit, Saint Paul Parish, Dominica","Edward Olivier Leblanc Highway,Canefield,Jimmit,Saint Paul Parish,Dominica","[object BSON]","Dominica","Saint Paul Parish","Jimmit","None","Canefield","Edward Olivier Leblanc Highway"
"BLDG20486","15.36835903","-61.40363876","Completely Destroyed","Damaged Buildings","nan","15.3783761,-61.4072474,primary","primary","Edward Olivier Leblanc Highway, Canefield, Jimmit, Saint Paul Parish, Dominica","Edward Olivier Leblanc Highway,Canefield,Jimmit,Saint Paul Parish,Dominica","[object BSON]","Dominica","Saint Paul Parish","Jimmit","None","Canefield","Edward Olivier Leblanc Highway"
"BLDG20487","15.36848752","-61.40329374","Completely Destroyed","Damaged Buildings","nan","15.3783761,-61.4072474,primary","primary","Edward Olivier Leblanc Highway, Canefield, Jimmit, Saint Paul Parish, Dominica","Edward Olivier Leblanc Highway,Canefield,Jimmit,Saint Paul Parish,Dominica","[object BSON]","Dominica","Saint Paul Parish","Jimmit","None","Canefield","Edward Olivier Leblanc Highway"
"BLDG20488","15.36900386","-61.40419555","Completely Destroyed","Damaged Buildings","nan","15.3380393,-61.3886297,suburb","suburb","Canefield, Jimmit, Saint Paul Parish, Dominica","Canefield,Jimmit,Saint Paul Parish,Dominica","[object BSON]","Dominica","Saint Paul Parish","Jimmit","None","Canefield","None"
"BLDG20489","15.36919897","-61.4040861","Completely Destroyed","Damaged Buildings","nan","15.3380393,-61.3886297,suburb","suburb","Canefield, Jimmit, Saint Paul Parish, Dominica","Canefield,Jimmit,Saint Paul Parish,Dominica","[object BSON]","Dominica","Saint Paul Parish","Jimmit","None","Canefield","None"
"BLDG20490","15.36947261","-61.40350789","Highly Damaged","Damaged Buildings","nan","15.3380393,-61.3886297,suburb","suburb","Canefield, Jimmit, Saint Paul Parish, Dominica","Canefield,Jimmit,Saint Paul Parish,Dominica","[object BSON]","Dominica","Saint Paul Parish","Jimmit","None","Canefield","None"
"BLDG20491","15.369427400000001","-61.40356738","Highly Damaged","Damaged Buildings","nan","15.3380393,-61.3886297,suburb","suburb","Canefield, Jimmit, Saint Paul Parish, Dominica","Canefield,Jimmit,Saint Paul Parish,Dominica","[object BSON]","Dominica","Saint Paul Parish","Jimmit","None","Canefield","None"
"BLDG20492","15.36957493","-61.40343175","Highly Damaged","Damaged Buildings","nan","15.3380393,-61.3886297,suburb","suburb","Canefield, Jimmit, Saint Paul Parish, Dominica","Canefield,Jimmit,Saint Paul Parish,Dominica","[object BSON]","Dominica","Saint Paul Parish","Jimmit","None","Canefield","None"
"BLDG20493","15.369903299999999","-61.403565","Moderately Damaged","Damaged Buildings","nan","15.3380393,-61.3886297,suburb","suburb","Canefield, Jimmit, Saint Paul Parish, Dominica","Canefield,Jimmit,Saint Paul Parish,Dominica","[object BSON]","Dominica","Saint Paul Parish","Jimmit","None","Canefield","None"
"BLDG20494","15.36917042","-61.40208497","Completely Destroyed","Damaged Buildings","nan","15.3955699,-61.3933158,tertiary","tertiary","Warner Road, Canefield, Jimmit, Saint Paul Parish, Dominica","Warner Road,Canefield,Jimmit,Saint Paul Parish,Dominica","[object BSON]","Dominica","Saint Paul Parish","Jimmit","None","Canefield","Warner Road"
